date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:24	675/675	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2029%20Dec%202019%2018:04:24%20GMT	https://www.surfprescriptions.com/robots.txt		(from )
13:04:24	2898/2898	---M-Z	200	added ('OK')	text/html	etag:%225820852-b52-549b13f530e00-gzip%22	https://www.surfprescriptions.com/	D:/Downloads/Surf/www.surfprescriptions.com/index.html	(from )
13:04:24	1092/1092	---M--	200	added ('OK')	text/css	etag:%225820850-444-549b13f530e00%22	https://www.surfprescriptions.com/reset.css	D:/Downloads/Surf/www.surfprescriptions.com/reset.css	(from https://www.surfprescriptions.com/)
13:04:25	24715/24715	---M--	200	added ('OK')	text/css	etag:%22582085f-608b-549b13f625040%22	https://www.surfprescriptions.com/style.css	D:/Downloads/Surf/www.surfprescriptions.com/style.css	(from https://www.surfprescriptions.com/)
13:04:25	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	D:/Downloads/Surf/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.surfprescriptions.com/)
13:04:25	204/204	---M--	200	added ('OK')	application/javascript	etag:%22582083c-cc-549b13f530e00%22	https://www.surfprescriptions.com/scripts.js	D:/Downloads/Surf/www.surfprescriptions.com/scripts.js	(from https://www.surfprescriptions.com/)
13:04:26	2898/2898	---M-Z	200	added ('OK')	text/html	etag:%225820852-b52-549b13f530e00-gzip%22	https://www.surfprescriptions.com/index.html	D:/Downloads/Surf/www.surfprescriptions.com/index-2.html	(from https://www.surfprescriptions.com/)
13:04:26	22978/22978	---M--	200	added ('OK')	image/png	etag:%225820890-59c2-549b14037efc0%22	https://www.surfprescriptions.com/images/logo.png	D:/Downloads/Surf/www.surfprescriptions.com/images/logo.png	(from https://www.surfprescriptions.com/)
13:04:27	5989/5989	---M-Z	200	added ('OK')	text/html	etag:%22582083e-1765-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/boards.html	D:/Downloads/Surf/www.surfprescriptions.com/boards.html	(from https://www.surfprescriptions.com/)
13:04:27	2699/2699	---M-Z	200	added ('OK')	text/html	etag:%22582085b-a8b-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/about.html	D:/Downloads/Surf/www.surfprescriptions.com/about.html	(from https://www.surfprescriptions.com/)
13:04:27	2621/2621	---M-Z	200	added ('OK')	text/html	etag:%225820854-a3d-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/connect.html	D:/Downloads/Surf/www.surfprescriptions.com/connect.html	(from https://www.surfprescriptions.com/)
13:04:27	9227/9227	---M-Z	200	added ('OK')	text/html	etag:%225820898-240b-54e506b979640-gzip%22	https://www.surfprescriptions.com/retailers.html	D:/Downloads/Surf/www.surfprescriptions.com/retailers.html	(from https://www.surfprescriptions.com/)
13:04:28	3687/3687	---M-Z	200	added ('OK')	text/html	etag:%225820858-e67-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/ask.html	D:/Downloads/Surf/www.surfprescriptions.com/ask.html	(from https://www.surfprescriptions.com/)
13:04:29	65587/65587	---M--	200	added ('OK')	image/jpeg	etag:%225820888-10033-549b14028ad80%22	https://www.surfprescriptions.com/images/feet.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/feet.jpg	(from https://www.surfprescriptions.com/style.css)
13:04:29	237309/237309	---M--	200	added ('OK')	image/png	etag:%225820866-39efd-549b13ffae6c0%22	https://www.surfprescriptions.com/boards/spanishomelet.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/spanishomelet.png	(from https://www.surfprescriptions.com/)
13:04:30	102021/102021	---M--	200	added ('OK')	image/jpeg	etag:%22582088d-18e85-549b1400a2900%22	https://www.surfprescriptions.com/images/about2.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/about2.jpg	(from https://www.surfprescriptions.com/style.css)
13:04:30	127238/127238	---M--	200	added ('OK')	image/jpeg	etag:%225820889-1f106-549b14028ad80%22	https://www.surfprescriptions.com/images/doc-about.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/doc-about.jpg	(from https://www.surfprescriptions.com/style.css)
13:04:30	147443/147443	---M--	200	added ('OK')	image/jpeg	etag:%225820885-23ff3-549b14028ad80%22	https://www.surfprescriptions.com/images/doc-about-bw.jpg	D:/Downloads/Surf/www.surfprescriptions.com/images/doc-about-bw.jpg	(from https://www.surfprescriptions.com/style.css)
